Province/State,Country/Region,Lat,Long,variable,value,Status
,Thailand,15.0,101.0,1/22/20,2,Confirmed
,Japan,36.0,138.0,1/22/20,2,Confirmed
,Singapore,1.2833,103.8333,1/22/20,0,Confirmed
,Nepal,28.1667,84.25,1/22/20,0,Confirmed
,Malaysia,2.5,112.5,1/22/20,0,Confirmed
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,Confirmed
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,Confirmed
Victoria,Australia,-37.8136,144.9631,1/22/20,0,Confirmed
Queensland,Australia,-28.0167,153.4,1/22/20,0,Confirmed
,Cambodia,11.55,104.9167,1/22/20,0,Confirmed
,Sri Lanka,7.0,81.0,1/22/20,0,Confirmed
,Germany,51.0,9.0,1/22/20,0,Confirmed
,Finland,64.0,26.0,1/22/20,0,Confirmed
,United Arab Emirates,24.0,54.0,1/22/20,0,Confirmed
,Philippines,13.0,122.0,1/22/20,0,Confirmed
,India,21.0,78.0,1/22/20,0,Confirmed
,Italy,43.0,12.0,1/22/20,0,Confirmed
,Sweden,63.0,16.0,1/22/20,0,Confirmed
,Spain,40.0,-4.0,1/22/20,0,Confirmed
South Australia,Australia,-34.9285,138.6007,1/22/20,0,Confirmed
,Belgium,50.8333,4.0,1/22/20,0,Confirmed
,Egypt,26.0,30.0,1/22/20,0,Confirmed
From Diamond Princess,Australia,35.4437,139.638,1/22/20,0,Confirmed
,Lebanon,33.8547,35.8623,1/22/20,0,Confirmed
,Iraq,33.0,44.0,1/22/20,0,Confirmed
,Oman,21.0,57.0,1/22/20,0,Confirmed
,Afghanistan,33.0,65.0,1/22/20,0,Confirmed
,Bahrain,26.0275,50.55,1/22/20,0,Confirmed
,Kuwait,29.5,47.75,1/22/20,0,Confirmed
,Algeria,28.0339,1.6596,1/22/20,0,Confirmed
,Croatia,45.1,15.2,1/22/20,0,Confirmed
,Switzerland,46.8182,8.2275,1/22/20,0,Confirmed
,Austria,47.5162,14.5501,1/22/20,0,Confirmed
,Israel,31.0,35.0,1/22/20,0,Confirmed
,Pakistan,30.3753,69.3451,1/22/20,0,Confirmed
,Brazil,-14.235,-51.9253,1/22/20,0,Confirmed
,Georgia,42.3154,43.3569,1/22/20,0,Confirmed
,Greece,39.0742,21.8243,1/22/20,0,Confirmed
,North Macedonia,41.6086,21.7453,1/22/20,0,Confirmed
,Norway,60.472,8.4689,1/22/20,0,Confirmed
,Romania,45.9432,24.9668,1/22/20,0,Confirmed
,Estonia,58.5953,25.0136,1/22/20,0,Confirmed
,San Marino,43.9424,12.4578,1/22/20,0,Confirmed
,Belarus,53.7098,27.9534,1/22/20,0,Confirmed
,Iceland,64.9631,-19.0208,1/22/20,0,Confirmed
,Lithuania,55.1694,23.8813,1/22/20,0,Confirmed
,Mexico,23.6345,-102.5528,1/22/20,0,Confirmed
,New Zealand,-40.9006,174.886,1/22/20,0,Confirmed
,Nigeria,9.082,8.6753,1/22/20,0,Confirmed
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,Confirmed
,Ireland,53.1424,-7.6921,1/22/20,0,Confirmed
,Luxembourg,49.8153,6.1296,1/22/20,0,Confirmed
,Monaco,43.7333,7.4167,1/22/20,0,Confirmed
,Qatar,25.3548,51.1839,1/22/20,0,Confirmed
,Ecuador,-1.8312,-78.1834,1/22/20,0,Confirmed
,Azerbaijan,40.1431,47.5769,1/22/20,0,Confirmed
,Armenia,40.0691,45.0382,1/22/20,0,Confirmed
,Dominican Republic,18.7357,-70.1627,1/22/20,0,Confirmed
,Indonesia,-0.7893,113.9213,1/22/20,0,Confirmed
,Portugal,39.3999,-8.2245,1/22/20,0,Confirmed
,Andorra,42.5063,1.5218,1/22/20,0,Confirmed
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,Confirmed
,Latvia,56.8796,24.6032,1/22/20,0,Confirmed
,Morocco,31.7917,-7.0926,1/22/20,0,Confirmed
